dataset,category,k,run_name,baseline_error,error_30,rel_drop_30,is_monotonic,improved_at_30pct
visa,macaroni1,2,CLS-visa-macaroni1-k2-seed111-per_sample,0.14003,0.0702090909090909,0.49861393337791254,True,True
visa,macaroni1,4,CLS-visa-macaroni1-k4-seed111-per_sample,0.13275,0.0703974025974026,0.46969941546212735,True,True
visa,macaroni2,1,CLS-visa-macaroni2-k1-seed111-per_sample,0.30315,0.2629415584415584,0.1326354661337343,True,True
visa,macaroni2,2,CLS-visa-macaroni2-k2-seed111-per_sample,0.21624,0.1717701298701298,0.20565052779259246,True,True
visa,macaroni2,4,CLS-visa-macaroni2-k4-seed111-per_sample,0.25244,0.1887805194805194,0.25217667770353586,True,True
visa,pcb1,1,CLS-visa-pcb1-k1-seed111-per_sample,0.0562848605577689,0.0061453667196499,0.890816701707158,True,True
visa,pcb1,2,CLS-visa-pcb1-k2-seed111-per_sample,0.0702689243027888,0.0140095060173812,0.8006301340687352,True,True
visa,pcb1,4,CLS-visa-pcb1-k4-seed111-per_sample,0.0500099601593625,0.0086017587680366,0.8279990877691943,True,True
visa,pcb2,1,CLS-visa-pcb2-k1-seed111-per_sample,0.1967032967032967,0.1546358317007667,0.21386253157710783,True,True
visa,pcb2,2,CLS-visa-pcb2-k2-seed111-per_sample,0.237052947052947,0.2083113639607146,0.12124541563203103,True,True
visa,pcb2,4,CLS-visa-pcb2-k4-seed111-per_sample,0.2337162837162836,0.2074450873801523,0.11240635833497524,False,True
visa,pcb3,1,CLS-visa-pcb3-k1-seed111-per_sample,0.2481113320079523,0.1968228355962416,0.20671565460809674,True,True
visa,pcb3,2,CLS-visa-pcb3-k2-seed111-per_sample,0.2500894632206759,0.195486923420716,0.21833202845407074,True,True
visa,pcb3,4,CLS-visa-pcb3-k4-seed111-per_sample,0.1823161033797216,0.1192942859638037,0.3456733456213588,True,True
visa,pcb4,1,CLS-visa-pcb4-k1-seed111-per_sample,0.1263283582089552,0.0588317146479761,0.5342952644831759,True,True
visa,pcb4,2,CLS-visa-pcb4-k2-seed111-per_sample,0.1611343283582089,0.0911355254773995,0.4344127262888321,True,True
visa,pcb4,4,CLS-visa-pcb4-k4-seed111-per_sample,0.128636815920398,0.0579993306430332,0.5491233965327322,True,True
visa,pipe_fryum,1,CLS-visa-pipe_fryum-k1-seed111-per_sample,0.0123,0.0092238095238095,0.25009678668215446,True,True
visa,pipe_fryum,2,CLS-visa-pipe_fryum-k2-seed111-per_sample,0.01542,0.0088,0.4293125810635538,True,True
visa,pipe_fryum,4,CLS-visa-pipe_fryum-k4-seed111-per_sample,0.00984,0.0061857142857142,0.3713704994192886,True,True
